"ID";"ElectDistrict";"Party";"Age";"Gender";"Independent";"Region";"EduLvl";"RegElected";"MP";"EuroMP"
"Jurva Johanna";"Uusimaa";"PS";33;"F";0;"Uusimaa";3;1;0;0
"Juvonen Arja";"Uusimaa";"PS";43;"F";0;"Uusimaa";4;1;0;0
"Kallio Kirsi";"Pirkanmaa";"PS";NA;"F";0;"Pirkanmaa";6;1;0;0
"Kanerva Seppo";"Helsinki";"PS";70;"M";0;"Uusimaa";6;1;0;0
"Kangas Anitta";"C-Finland";"PS";54;"F";0;"C-Finland";4;0;0;0
"Kankkonen Taru";"Satakunta";"PS";32;"F";0;"Satakunta";5;0;0;0
"Karinkanta Mervi";"Pirkanmaa";"PS";44;"F";0;"Pirkanmaa";4;0;0;0
"Karjalainen Mirva";"S-Savonia";"PS";28;"F";0;"S-Savonia";3;0;0;0
"Karki Armi";"Pirkanmaa";"PS";56;"F";0;"Pirkanmaa";4;1;0;0
"Kellola Tuula";"Oulu";"PS";55;"F";0;"N-Ostrobothnia";1;1;0;0
"Kerijoki Harri";"Tavastia";"PS";61;"M";0;"Paijat-Hame";3;1;0;0
"Keto Pekka";"N-Savonia";"PS";54;"M";0;"N-Savonia";1;1;0;0
"Ketonen Tuija";"Finland Proper";"PS";28;"F";0;"W-Finland";3;0;0;0
"Kettunen Pentti";"Oulu";"PS";69;"M";0;"Kainuu";3;1;0;0
"Kinnunen Jouko";"Lapland";"PS";56;"M";0;"Lapland";4;1;0;0
"Kivela Kimmo";"N-Savonia";"PS";49;"M";0;"N-Savonia";6;0;0;0
"Kivinen Harri";"S-Savonia";"PS";50;"M";0;"S-Savonia";2;0;0;0
"Kivioja Eila";"Lapland";"PS";57;"F";0;"Lapland";3;1;0;0
"Kivisto Ilkka";"Uusimaa";"PS";61;"M";0;"Uusimaa";0;1;0;0
"Klen Tapio";"S-Savonia";"PS";65;"M";0;"S-Savonia";7;0;0;0
